AER,ANT,ATT,Arrets_par_match,BAL,CRE,DEF,Overall rating,SAV,TAC,TEC,longue_passe,passes_Precision,position,potentiel max,preferred_foot,taille,valeur_actuelle
,,,0,,,,5.0,,,,0.2 (100%),8.1 (83%),F,7.4,Droit,181,210K €
,,,0,,,,5.0,,,,,,,5.0,,,
,,,0,,,,5.0,,,,,,D,5.0,Droit,,
,,,2.5 (71%),,,,5.0,,,,1.0 (47%),11.8 (90%),G,7.0,Droit,187,
52,36,,1.7 (69%),54,,,5.0,48,33,,5.7 (69%),24.6 (89%),G,7.6,Droit,187,1.5M €
,,,0,,,,5.0,,,,4.1 (60%),33.7 (82%),D,5.0,Droit,177,515K €
,,46,0,,45,50,5.0,,46,54,2.9 (69%),35.1 (85%),M,7.5,Droit,183,605K €
,,51,0,,51,43,5.0,,41,62,1.5 (56%),29.8 (86%),M,7.7,Droit,176,775K €
,,,2.5 (82%),,,,5.0,,,,4.7 (62%),17.5 (85%),G,5.0,Droit,198,270K €
,,55,0,,50,35,5.0,,30,70,0.5 (100%),9.8 (74%),M,7.6,Droit,176,590K €
,,33,0,,37,60,5.0,,50,46,3.0 (82%),42.0 (91%),D,7.3,,186,860K €
,,55,0,,46,37,5.0,,39,54,0.0 (0%),1.7 (63%),M,7.0,Droit,180,500K €
,,,0,,,,5.0,,,,,,G,5.0,Droit,187,
,,,0,,,,5.0,,,,2.2 (61%),19.2 (74%),D,7.0,Droit,173,81K €
,,,0,,,,5.0,,,,3.6 (59%),41.5 (88%),D,5.0,Gauche,186,430K €
,,,0,,,,5.0,,,,0.0 (0%),0.0 (0%),M,5.0,,,
,,,0,,,,5.0,,,,,,,5.0,,,
,,,0,,,,5.0,,,,0.2 (29%),10.1 (69%),M,5.0,Gauche,,72K €
,,,0,,,,5.0,,,,0.0 (0%),12.0 (80%),M,5.0,Droit,176,230K €
,,,0,,,,5.0,,,,0.5 (33%),22.5 (82%),M,8.0,Droit,179,515K €
,,,0,,,,5.0,,,,1.3 (50%),19.8 (83%),M,7.6,Droit,177,390K €
,,,0,,,,5.0,,,,,,,5.0,,,
,,62,0,,60,37,5.0,,44,74,2.1 (58%),31.5 (79%),M,9.6,Droit,172,1.5M €
,,,0,,,,5.0,,,,0.5 (20%),33.5 (87%),D,5.0,Droit,181,295K €
